template_language,tool,smell_type,precision,recall,tp,fp,fn,predicted,ground_truth
arm,arm-ttk,always_false_conditions,NA,NA,0,0,4,0,4
arm,arm-ttk,always_true_conditions,NA,NA,0,0,3,0,3
arm,arm-ttk,cascading_provisioning_failures,NA,NA,0,0,3,0,3
arm,arm-ttk,circular_dependencies,NA,NA,0,0,3,0,3
arm,arm-ttk,hard_coded_secrets,0.42857142857142855,0.6,3,4,2,7,5
arm,arm-ttk,no_sourced_conditions,NA,NA,0,0,5,0,5
arm,arm-ttk,no_sourced_outputs,NA,NA,0,0,8,0,8
arm,arm-ttk,unprotected_secrets,1.0,0.09090909090909091,1,0,10,1,11
arm,arm-ttk,unrestricted_ip_addresses,NA,NA,0,0,19,0,19
arm,arm-ttk,unused_parameters,0.96,0.5217391304347826,24,1,22,25,46
arm,checkov,always_false_conditions,NA,NA,0,0,4,0,4
arm,checkov,always_true_conditions,NA,NA,0,0,3,0,3
arm,checkov,cascading_provisioning_failures,NA,NA,0,0,3,0,3
arm,checkov,circular_dependencies,NA,NA,0,0,3,0,3
arm,checkov,hard_coded_secrets,1.0,0.2,1,0,4,1,5
arm,checkov,no_sourced_conditions,NA,NA,0,0,5,0,5
arm,checkov,no_sourced_outputs,NA,NA,0,0,8,0,8
arm,checkov,unprotected_secrets,NA,NA,0,0,11,0,11
arm,checkov,unrestricted_ip_addresses,0.9166666666666666,0.5789473684210527,11,1,8,12,19
arm,checkov,unused_parameters,NA,NA,0,0,46,0,46
bicep,bicep-linter,always_false_conditions,NA,NA,0,0,3,0,3
bicep,bicep-linter,always_true_conditions,NA,NA,0,0,4,0,4
bicep,bicep-linter,cascading_provisioning_failures,0.2,0.2,1,4,4,5,5
bicep,bicep-linter,dead_resources,NA,NA,0,0,3,0,3
bicep,bicep-linter,hard_coded_secrets,0.0,0.0,0,2,4,2,4
bicep,bicep-linter,no_sourced_conditions,NA,NA,0,0,27,0,27
bicep,bicep-linter,no_sourced_outputs,NA,NA,0,0,11,0,11
bicep,bicep-linter,unprotected_secrets,1.0,0.2,2,0,8,2,10
bicep,bicep-linter,unrestricted_ip_addresses,NA,NA,0,0,10,0,10
bicep,bicep-linter,unused_parameters,1.0,0.75,12,0,4,12,16
bicep,checkov,always_false_conditions,NA,NA,0,0,3,0,3
bicep,checkov,always_true_conditions,NA,NA,0,0,4,0,4
bicep,checkov,cascading_provisioning_failures,NA,NA,0,0,5,0,5
bicep,checkov,dead_resources,NA,NA,0,0,3,0,3
bicep,checkov,hard_coded_secrets,NA,NA,0,0,4,0,4
bicep,checkov,no_sourced_conditions,NA,NA,0,0,27,0,27
bicep,checkov,no_sourced_outputs,NA,NA,0,0,11,0,11
bicep,checkov,unprotected_secrets,NA,NA,0,0,10,0,10
bicep,checkov,unrestricted_ip_addresses,1.0,0.2,2,0,8,2,10
