template_name,template_language,template_path,resolved_template_path,tool,iac_type,return_code,duration_s,issue_count,issue_index,issue_id,issue_message,issue_level,issue_location,issue_json,issue_status,error
template_00376_test.json,cloudformation,data/cloudformation_collected_templates_new\template_00376_test.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00376_test.json,cfn-lint,cloudformation,6,1.72,2,1,W2501,Password shouldn't be hardcoded for Resources/MyDB/Properties/MasterUserPassword,Warning,L30,"{""id"": ""W2501"", ""message"": ""Password shouldn't be hardcoded for Resources/MyDB/Properties/MasterUserPassword"", ""level"": ""Warning"", ""location"": ""L30""}",issue,
template_00376_test.json,cloudformation,data/cloudformation_collected_templates_new\template_00376_test.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00376_test.json,cfn-lint,cloudformation,6,1.72,2,2,E6101,"'PublicDnsName' is not one of ['AllocatedStorage', 'AllowMajorVersionUpgrade', 'ApplyImmediately', 'AssociatedRoles', 'AutoMinorVersionUpgrade', 'AutomaticBackupReplicationKmsKeyId', 'AutomaticBackupReplicationRegion', 'AutomaticBackupReplicationRetentionPeriod', 'AutomaticRestartTime', 'AvailabilityZone', 'BackupRetentionPeriod', 'BackupTarget', 'CACertificateIdentifier', 'CertificateDetails.CAIdentifier', 'CertificateDetails.ValidTill', 'CertificateRotationRestart', 'CharacterSetName', 'CopyTagsToSnapshot', 'CustomIAMInstanceProfile', 'DBClusterIdentifier', 'DBClusterSnapshotIdentifier', 'DBInstanceArn', 'DBInstanceClass', 'DBInstanceIdentifier', 'DBInstanceStatus', 'DBName', 'DBParameterGroupName', 'DBSecurityGroups', 'DBSnapshotIdentifier', 'DBSubnetGroupName', 'DBSystemId', 'DatabaseInsightsMode', 'DbiResourceId', 'DedicatedLogVolume', 'DeleteAutomatedBackups', 'DeletionProtection', 'Domain', 'DomainAuthSecretArn', 'DomainDnsIps', 'DomainFqdn', 'DomainIAMRoleName', 'DomainOu', 'EnableCloudwatchLogsExports', 'EnableIAMDatabaseAuthentication', 'EnablePerformanceInsights', 'Endpoint.Address', 'Endpoint.HostedZoneId', 'Endpoint.Port', 'Engine', 'EngineLifecycleSupport', 'EngineVersion', 'InstanceCreateTime', 'Iops', 'IsStorageConfigUpgradeAvailable', 'KmsKeyId', 'LatestRestorableTime', 'LicenseModel', 'ListenerEndpoint.Address', 'ListenerEndpoint.HostedZoneId', 'ListenerEndpoint.Port', 'ManageMasterUserPassword', 'MasterUserAuthenticationType', 'MasterUserPassword', 'MasterUserSecret.KmsKeyId', 'MasterUserSecret.SecretArn', 'MasterUsername', 'MaxAllocatedStorage', 'MonitoringInterval', 'MonitoringRoleArn', 'MultiAZ', 'NcharCharacterSetName', 'NetworkType', 'OptionGroupName', 'PercentProgress', 'PerformanceInsightsKMSKeyId', 'PerformanceInsightsRetentionPeriod', 'Port', 'PreferredBackupWindow', 'PreferredMaintenanceWindow', 'ProcessorFeatures', 'PromotionTier', 'PubliclyAccessible', 'ReadReplicaDBClusterIdentifiers', 'ReadReplicaDBInstanceIdentifiers', 'ReplicaMode', 'RestoreTime', 'ResumeFullAutomationModeTime', 'SecondaryAvailabilityZone', 'SourceDBClusterIdentifier', 'SourceDBInstanceAutomatedBackupsArn', 'SourceDBInstanceIdentifier', 'SourceDbiResourceId', 'SourceRegion', 'StatusInfos', 'StorageEncrypted', 'StorageThroughput', 'StorageType', 'Tags', 'TdeCredentialArn', 'TdeCredentialPassword', 'Timezone', 'UseDefaultProcessorFeatures', 'UseLatestRestorableTime', 'VPCSecurityGroups'] in ['us-east-1']",Error,L37,"{""id"": ""E6101"", ""message"": ""'PublicDnsName' is not one of ['AllocatedStorage', 'AllowMajorVersionUpgrade', 'ApplyImmediately', 'AssociatedRoles', 'AutoMinorVersionUpgrade', 'AutomaticBackupReplicationKmsKeyId', 'AutomaticBackupReplicationRegion', 'AutomaticBackupReplicationRetentionPeriod', 'AutomaticRestartTime', 'AvailabilityZone', 'BackupRetentionPeriod', 'BackupTarget', 'CACertificateIdentifier', 'CertificateDetails.CAIdentifier', 'CertificateDetails.ValidTill', 'CertificateRotationRestart', 'CharacterSetName', 'CopyTagsToSnapshot', 'CustomIAMInstanceProfile', 'DBClusterIdentifier', 'DBClusterSnapshotIdentifier', 'DBInstanceArn', 'DBInstanceClass', 'DBInstanceIdentifier', 'DBInstanceStatus', 'DBName', 'DBParameterGroupName', 'DBSecurityGroups', 'DBSnapshotIdentifier', 'DBSubnetGroupName', 'DBSystemId', 'DatabaseInsightsMode', 'DbiResourceId', 'DedicatedLogVolume', 'DeleteAutomatedBackups', 'DeletionProtection', 'Domain', 'DomainAuthSecretArn', 'DomainDnsIps', 'DomainFqdn', 'DomainIAMRoleName', 'DomainOu', 'EnableCloudwatchLogsExports', 'EnableIAMDatabaseAuthentication', 'EnablePerformanceInsights', 'Endpoint.Address', 'Endpoint.HostedZoneId', 'Endpoint.Port', 'Engine', 'EngineLifecycleSupport', 'EngineVersion', 'InstanceCreateTime', 'Iops', 'IsStorageConfigUpgradeAvailable', 'KmsKeyId', 'LatestRestorableTime', 'LicenseModel', 'ListenerEndpoint.Address', 'ListenerEndpoint.HostedZoneId', 'ListenerEndpoint.Port', 'ManageMasterUserPassword', 'MasterUserAuthenticationType', 'MasterUserPassword', 'MasterUserSecret.KmsKeyId', 'MasterUserSecret.SecretArn', 'MasterUsername', 'MaxAllocatedStorage', 'MonitoringInterval', 'MonitoringRoleArn', 'MultiAZ', 'NcharCharacterSetName', 'NetworkType', 'OptionGroupName', 'PercentProgress', 'PerformanceInsightsKMSKeyId', 'PerformanceInsightsRetentionPeriod', 'Port', 'PreferredBackupWindow', 'PreferredMaintenanceWindow', 'ProcessorFeatures', 'PromotionTier', 'PubliclyAccessible', 'ReadReplicaDBClusterIdentifiers', 'ReadReplicaDBInstanceIdentifiers', 'ReplicaMode', 'RestoreTime', 'ResumeFullAutomationModeTime', 'SecondaryAvailabilityZone', 'SourceDBClusterIdentifier', 'SourceDBInstanceAutomatedBackupsArn', 'SourceDBInstanceIdentifier', 'SourceDbiResourceId', 'SourceRegion', 'StatusInfos', 'StorageEncrypted', 'StorageThroughput', 'StorageType', 'Tags', 'TdeCredentialArn', 'TdeCredentialPassword', 'Timezone', 'UseDefaultProcessorFeatures', 'UseLatestRestorableTime', 'VPCSecurityGroups'] in ['us-east-1']"", ""level"": ""Error"", ""location"": ""L37""}",issue,
template_00376_test.json,cloudformation,data/cloudformation_collected_templates_new\template_00376_test.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00376_test.json,trivy,cloudformation,0,0.683,6,1,AWS-0077,Instance has very low backup retention period.,MEDIUM,23,"{""id"": ""AWS-0077"", ""message"": ""Instance has very low backup retention period."", ""level"": ""MEDIUM"", ""location"": 23}",issue,
template_00376_test.json,cloudformation,data/cloudformation_collected_templates_new\template_00376_test.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00376_test.json,trivy,cloudformation,0,0.683,6,2,AWS-0080,Instance does not have storage encryption enabled.,HIGH,23,"{""id"": ""AWS-0080"", ""message"": ""Instance does not have storage encryption enabled."", ""level"": ""HIGH"", ""location"": 23}",issue,
template_00376_test.json,cloudformation,data/cloudformation_collected_templates_new\template_00376_test.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00376_test.json,trivy,cloudformation,0,0.683,6,3,AWS-0133,Instance does not have performance insights enabled.,LOW,23,"{""id"": ""AWS-0133"", ""message"": ""Instance does not have performance insights enabled."", ""level"": ""LOW"", ""location"": 23}",issue,
template_00376_test.json,cloudformation,data/cloudformation_collected_templates_new\template_00376_test.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00376_test.json,trivy,cloudformation,0,0.683,6,4,AWS-0176,Instance does not have IAM Authentication enabled,MEDIUM,23,"{""id"": ""AWS-0176"", ""message"": ""Instance does not have IAM Authentication enabled"", ""level"": ""MEDIUM"", ""location"": 23}",issue,
template_00376_test.json,cloudformation,data/cloudformation_collected_templates_new\template_00376_test.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00376_test.json,trivy,cloudformation,0,0.683,6,5,AWS-0177,Instance does not have Deletion Protection enabled,MEDIUM,23,"{""id"": ""AWS-0177"", ""message"": ""Instance does not have Deletion Protection enabled"", ""level"": ""MEDIUM"", ""location"": 23}",issue,
template_00376_test.json,cloudformation,data/cloudformation_collected_templates_new\template_00376_test.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00376_test.json,trivy,cloudformation,0,0.683,6,6,AWS-0180,Instance has Public Access enabled,HIGH,23,"{""id"": ""AWS-0180"", ""message"": ""Instance has Public Access enabled"", ""level"": ""HIGH"", ""location"": 23}",issue,
template_00376_test.json,cloudformation,data/cloudformation_collected_templates_new\template_00376_test.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00376_test.json,checkov,cloudformation,1,2.448,0,,,,,,,no_issue,
template_00508_TheLambdalithStack.yml,cloudformation,data/cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,cfn-lint,cloudformation,6,1.731,3,1,E2533,Runtime 'python3.8' was deprecated on '2024-10-14'. Creation was disabled on '2025-10-01' and update on '2025-11-01'. Please consider updating to 'python3.13',Error,L44,"{""id"": ""E2533"", ""message"": ""Runtime 'python3.8' was deprecated on '2024-10-14'. Creation was disabled on '2025-10-01' and update on '2025-11-01'. Please consider updating to 'python3.13'"", ""level"": ""Error"", ""location"": ""L44""}",issue,
template_00508_TheLambdalithStack.yml,cloudformation,data/cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,cfn-lint,cloudformation,6,1.731,3,2,W3005,'lambdalithHandlerServiceRole5EF8B2D9' dependency already enforced by a 'GetAtt' at 'Resources/lambdalithHandlerA7E51B4B/Properties/Role',Warning,L46,"{""id"": ""W3005"", ""message"": ""'lambdalithHandlerServiceRole5EF8B2D9' dependency already enforced by a 'GetAtt' at 'Resources/lambdalithHandlerA7E51B4B/Properties/Role'"", ""level"": ""Warning"", ""location"": ""L46""}",issue,
template_00508_TheLambdalithStack.yml,cloudformation,data/cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,cfn-lint,cloudformation,6,1.731,3,3,W2001,Parameter AssetParameters942dc8810017b8ceebf761d04a03cd725053f34f261656610cacf5346246bcd9ArtifactHashE439B6C2 not used.,Warning,L282,"{""id"": ""W2001"", ""message"": ""Parameter AssetParameters942dc8810017b8ceebf761d04a03cd725053f34f261656610cacf5346246bcd9ArtifactHashE439B6C2 not used."", ""level"": ""Warning"", ""location"": ""L282""}",issue,
template_00508_TheLambdalithStack.yml,cloudformation,data/cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,trivy,cloudformation,0,0.69,4,1,AWS-0001,Access logging is not configured.,MEDIUM,69,"{""id"": ""AWS-0001"", ""message"": ""Access logging is not configured."", ""level"": ""MEDIUM"", ""location"": 69}",issue,
template_00508_TheLambdalithStack.yml,cloudformation,data/cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,trivy,cloudformation,0,0.69,4,2,AWS-0003,X-Ray tracing is not enabled.,LOW,69,"{""id"": ""AWS-0003"", ""message"": ""X-Ray tracing is not enabled."", ""level"": ""LOW"", ""location"": 69}",issue,
template_00508_TheLambdalithStack.yml,cloudformation,data/cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,trivy,cloudformation,0,0.69,4,3,AWS-0004,Authorization is not enabled for this method.,LOW,176,"{""id"": ""AWS-0004"", ""message"": ""Authorization is not enabled for this method."", ""level"": ""LOW"", ""location"": 176}",issue,
template_00508_TheLambdalithStack.yml,cloudformation,data/cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,trivy,cloudformation,0,0.69,4,4,AWS-0066,Function does not have tracing enabled.,LOW,20,"{""id"": ""AWS-0066"", ""message"": ""Function does not have tracing enabled."", ""level"": ""LOW"", ""location"": 20}",issue,
template_00508_TheLambdalithStack.yml,cloudformation,data/cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,checkov,cloudformation,1,2.077,0,,,,,,,no_issue,
template_00558_organizationAccountAccessRole.yml,cloudformation,data/cloudformation_collected_templates_new\template_00558_organizationAccountAccessRole.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00558_organizationAccountAccessRole.yml,cfn-lint,cloudformation,0,1.328,0,,,,,,,no_issue,
template_00558_organizationAccountAccessRole.yml,cloudformation,data/cloudformation_collected_templates_new\template_00558_organizationAccountAccessRole.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00558_organizationAccountAccessRole.yml,trivy,cloudformation,0,0.639,0,,,,,,,no_issue,
template_00558_organizationAccountAccessRole.yml,cloudformation,data/cloudformation_collected_templates_new\template_00558_organizationAccountAccessRole.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00558_organizationAccountAccessRole.yml,checkov,cloudformation,1,2.08,0,,,,,,,no_issue,
template_00919_amplify_app_basic_auth_config_password_parameter_with_noecho_and_default_value.yaml,cloudformation,data/cloudformation_collected_templates_new\template_00919_amplify_app_basic_auth_config_password_parameter_with_noecho_and_default_value.yaml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00919_amplify_app_basic_auth_config_password_parameter_with_noecho_and_default_value.yaml,cfn-lint,cloudformation,0,1.317,0,,,,,,,no_issue,
template_00919_amplify_app_basic_auth_config_password_parameter_with_noecho_and_default_value.yaml,cloudformation,data/cloudformation_collected_templates_new\template_00919_amplify_app_basic_auth_config_password_parameter_with_noecho_and_default_value.yaml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00919_amplify_app_basic_auth_config_password_parameter_with_noecho_and_default_value.yaml,trivy,cloudformation,0,0.644,0,,,,,,,no_issue,
template_00919_amplify_app_basic_auth_config_password_parameter_with_noecho_and_default_value.yaml,cloudformation,data/cloudformation_collected_templates_new\template_00919_amplify_app_basic_auth_config_password_parameter_with_noecho_and_default_value.yaml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00919_amplify_app_basic_auth_config_password_parameter_with_noecho_and_default_value.yaml,checkov,cloudformation,1,2.072,0,,,,,,,no_issue,
template_00946_api_gateway_stage_does_have_access_logging.yaml,cloudformation,data/cloudformation_collected_templates_new\template_00946_api_gateway_stage_does_have_access_logging.yaml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00946_api_gateway_stage_does_have_access_logging.yaml,cfn-lint,cloudformation,0,1.331,0,,,,,,,no_issue,
template_00946_api_gateway_stage_does_have_access_logging.yaml,cloudformation,data/cloudformation_collected_templates_new\template_00946_api_gateway_stage_does_have_access_logging.yaml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00946_api_gateway_stage_does_have_access_logging.yaml,trivy,cloudformation,0,0.654,0,,,,,,,no_issue,
template_00946_api_gateway_stage_does_have_access_logging.yaml,cloudformation,data/cloudformation_collected_templates_new\template_00946_api_gateway_stage_does_have_access_logging.yaml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00946_api_gateway_stage_does_have_access_logging.yaml,checkov,cloudformation,1,2.073,0,,,,,,,no_issue,
template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,cloudformation,data/cloudformation_collected_templates_new\template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,cfn-lint,cloudformation,4,1.362,1,1,W1011,Use dynamic references over parameters for secrets,Warning,L13,"{""id"": ""W1011"", ""message"": ""Use dynamic references over parameters for secrets"", ""level"": ""Warning"", ""location"": ""L13""}",issue,
template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,cloudformation,data/cloudformation_collected_templates_new\template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,trivy,cloudformation,0,0.64,6,1,AWS-0077,Instance has very low backup retention period.,MEDIUM,7,"{""id"": ""AWS-0077"", ""message"": ""Instance has very low backup retention period."", ""level"": ""MEDIUM"", ""location"": 7}",issue,
template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,cloudformation,data/cloudformation_collected_templates_new\template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,trivy,cloudformation,0,0.64,6,2,AWS-0080,Instance does not have storage encryption enabled.,HIGH,7,"{""id"": ""AWS-0080"", ""message"": ""Instance does not have storage encryption enabled."", ""level"": ""HIGH"", ""location"": 7}",issue,
template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,cloudformation,data/cloudformation_collected_templates_new\template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,trivy,cloudformation,0,0.64,6,3,AWS-0133,Instance does not have performance insights enabled.,LOW,7,"{""id"": ""AWS-0133"", ""message"": ""Instance does not have performance insights enabled."", ""level"": ""LOW"", ""location"": 7}",issue,
template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,cloudformation,data/cloudformation_collected_templates_new\template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,trivy,cloudformation,0,0.64,6,4,AWS-0176,Instance does not have IAM Authentication enabled,MEDIUM,7,"{""id"": ""AWS-0176"", ""message"": ""Instance does not have IAM Authentication enabled"", ""level"": ""MEDIUM"", ""location"": 7}",issue,
template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,cloudformation,data/cloudformation_collected_templates_new\template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,trivy,cloudformation,0,0.64,6,5,AWS-0177,Instance does not have Deletion Protection enabled,MEDIUM,7,"{""id"": ""AWS-0177"", ""message"": ""Instance does not have Deletion Protection enabled"", ""level"": ""MEDIUM"", ""location"": 7}",issue,
template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,cloudformation,data/cloudformation_collected_templates_new\template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,trivy,cloudformation,0,0.64,6,6,AWS-0180,Instance has Public Access enabled,HIGH,7,"{""id"": ""AWS-0180"", ""message"": ""Instance has Public Access enabled"", ""level"": ""HIGH"", ""location"": 7}",issue,
template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,cloudformation,data/cloudformation_collected_templates_new\template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_01322_rds_dbinstance_master_user_password_parameter_with_noecho.yaml,checkov,cloudformation,1,2.132,0,,,,,,,no_issue,
template_01388_test.template.yaml,cloudformation,data/cloudformation_collected_templates_new\template_01388_test.template.yaml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_01388_test.template.yaml,cfn-lint,cloudformation,0,1.311,0,,,,,,,no_issue,
template_01388_test.template.yaml,cloudformation,data/cloudformation_collected_templates_new\template_01388_test.template.yaml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_01388_test.template.yaml,trivy,cloudformation,0,0.641,0,,,,,,,no_issue,
template_01388_test.template.yaml,cloudformation,data/cloudformation_collected_templates_new\template_01388_test.template.yaml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_01388_test.template.yaml,checkov,cloudformation,1,2.093,0,,,,,,,no_issue,
template_01425_database.yml,cloudformation,data/cloudformation_collected_templates_new\template_01425_database.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_01425_database.yml,cfn-lint,cloudformation,4,1.553,7,1,W2001,Parameter Namespace not used.,Warning,L5,"{""id"": ""W2001"", ""message"": ""Parameter Namespace not used."", ""level"": ""Warning"", ""location"": ""L5""}",issue,
template_01425_database.yml,cloudformation,data/cloudformation_collected_templates_new\template_01425_database.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_01425_database.yml,cfn-lint,cloudformation,4,1.553,7,2,W2001,Parameter EnvironmentName not used.,Warning,L8,"{""id"": ""W2001"", ""message"": ""Parameter EnvironmentName not used."", ""level"": ""Warning"", ""location"": ""L8""}",issue,
template_01425_database.yml,cloudformation,data/cloudformation_collected_templates_new\template_01425_database.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_01425_database.yml,cfn-lint,cloudformation,4,1.553,7,3,W3011,Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion,Warning,L131,"{""id"": ""W3011"", ""message"": ""Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion"", ""level"": ""Warning"", ""location"": ""L131""}",issue,
template_01425_database.yml,cloudformation,data/cloudformation_collected_templates_new\template_01425_database.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_01425_database.yml,cfn-lint,cloudformation,4,1.553,7,4,W1011,Use dynamic references over parameters for secrets,Warning,L154,"{""id"": ""W1011"", ""message"": ""Use dynamic references over parameters for secrets"", ""level"": ""Warning"", ""location"": ""L154""}",issue,
template_01425_database.yml,cloudformation,data/cloudformation_collected_templates_new\template_01425_database.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_01425_database.yml,cfn-lint,cloudformation,4,1.553,7,5,W3011,Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion,Warning,L173,"{""id"": ""W3011"", ""message"": ""Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion"", ""level"": ""Warning"", ""location"": ""L173""}",issue,
template_01425_database.yml,cloudformation,data/cloudformation_collected_templates_new\template_01425_database.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_01425_database.yml,cfn-lint,cloudformation,4,1.553,7,6,W1011,Use dynamic references over parameters for secrets,Warning,L189,"{""id"": ""W1011"", ""message"": ""Use dynamic references over parameters for secrets"", ""level"": ""Warning"", ""location"": ""L189""}",issue,
template_01425_database.yml,cloudformation,data/cloudformation_collected_templates_new\template_01425_database.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_01425_database.yml,cfn-lint,cloudformation,4,1.553,7,7,W2010,Don't use 'NoEcho' parameter 'DatabaseMasterUsername' in 'Outputs',Warning,L207,"{""id"": ""W2010"", ""message"": ""Don't use 'NoEcho' parameter 'DatabaseMasterUsername' in 'Outputs'"", ""level"": ""Warning"", ""location"": ""L207""}",issue,
template_01425_database.yml,cloudformation,data/cloudformation_collected_templates_new\template_01425_database.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_01425_database.yml,trivy,cloudformation,0,0.66,12,1,AWS-0077,Cluster instance has very low backup retention period.,MEDIUM,131,"{""id"": ""AWS-0077"", ""message"": ""Cluster instance has very low backup retention period."", ""level"": ""MEDIUM"", ""location"": 131}",issue,
template_01425_database.yml,cloudformation,data/cloudformation_collected_templates_new\template_01425_database.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_01425_database.yml,trivy,cloudformation,0,0.66,12,2,AWS-0077,Instance has very low backup retention period.,MEDIUM,173,"{""id"": ""AWS-0077"", ""message"": ""Instance has very low backup retention period."", ""level"": ""MEDIUM"", ""location"": 173}",issue,
